relation_path,entity_path
34 23,1 247 263
34 34,1 260 263
34 34 23,1 247 2024 263
34 28,1 247 264
34 34 28,1 260 1099 264
34 31,1 247 222
34 34 31,1 484 1826 222
34 31,1 260 452
34 34 31,1 260 2030 452
34 31,1 247 576
34 34 31,1 247 2024 576
34 34 31,1 247 30 646
34 34 31,1 789 10 1002
34 34 31,1 247 30 1126
34 31,1 247 1144
34 34 31,1 247 2024 1144
34 31,1 247 1247
34 34 31,1 247 2024 1247
34 34 31,1 247 30 1452
34 31,1 247 1560
34 34 31,1 247 1830 1560
34 31,1 247 1663
34 34 31,1 247 2024 1663
34 34 31,1 247 33 1721
34 34 27,1 247 33 1721
34 31,1 247 1808
34 34 31,1 247 2024 1808
34 31,1 247 1810
34 34 31,1 247 2024 1810
34 31,1 247 1877
34 34 31,1 247 2024 1877
34 31,1 247 1906
34 34 31,1 247 2024 1906
34 31,1 247 1913
34 34 31,1 247 2024 1913
34 31,1 484 1945
34 34 31,1 484 1971 1945
34 34,1 789 247
34 34 34,1 789 1949 247
34 34,247 1030 1
34 34 34,247 1030 260 1
34 34,1 484 260
34 34 34,1 484 2030 260
34 34,260 484 1
34 34 34,260 39 484 1
34 34,1 247 484
34 34 34,1 247 2024 484
34 34,484 247 1
34 34 34,484 247 1030 1
34 34,1 247 789
34 34 34,1 247 1830 789
34 34,789 247 1
34 34 34,789 247 1030 1
34 34,1 247 1030
34 34 34,1 247 2024 1030
34 34,1030 260 1
34 34 34,1030 260 484 1
34 34,1 247 1927
34 34 34,1 247 2024 1927
34 34,1927 484 1
34 34 34,1927 484 247 1
37 0,2 1734 1600
37 37 0,2 200 1463 1600
37 37 37 0,2 200 1463 1323 1600
37 37 37 37 0,2 1734 2032 1972 1980 1600
37 3,2 485 121
37 37 3,2 1734 2032 121
37 37 37 3,2 200 1463 1323 121
35 34 26 3,2 917 353 842 513
37 37 37 3,2 1734 1580 320 513
35 34 34 26 3,2 917 2018 353 842 513
37 3,2 485 539
37 37 3,2 1734 200 539
37 37 37 3,2 200 1463 1323 539
37 37 37 37 3,2 1734 200 1463 1323 539
37 3,2 485 594
37 37 3,2 1734 205 594
37 37 37 3,2 1734 2032 766 594
37 3,2 461 1494
37 37 3,2 200 1463 1494
37 37 3,2 1734 1580 1879
37 37 37 3,2 200 1463 1323 1879
35 34 26 3,2 1673 353 842 1879
35 28,2 917 518
37 12,2 485 518
35 34 28,2 917 2011 518
37 22 28,2 485 257 518
35 34,2 1673 917
35 34 34,2 1673 1927 917
35 34,2 917 1673
35 15 34,2 1901 257 1673
35 34 34,2 917 2008 1673
37 22 34,2 200 1030 1673
37 17,2 461 1901
37 37 18,2 1734 205 1901
37 37 37 18,2 200 1463 517 1901
37 37 37 35,2 1734 1580 1955 1901
37 37 37 17,2 1734 1727 1566 1901
35 34 26 31 13,2 917 364 2016 158 1901
37 37 37 31 13,2 1734 1727 1566 158 1901
37 37 37 37 17,2 1734 2032 1727 1566 1901
37 37,2 1734 200
34 34 23,3 1030 924 263
34 34 34,3 1949 260 263
34 34 27,3 1030 113 1370
34 31,3 1969 46
34 34 31,3 1969 2024 46
34 31,3 1030 65
34 34 31,3 1030 2030 65
34 31,3 1969 452
34 34 31,3 977 1805 1002
34 31,3 1030 1144
34 34 31,3 1030 2030 1144
34 31,3 1969 1247
34 34 31,3 1969 2024 1247
34 31,3 1830 1452
34 34 31,3 1830 1949 1452
34 31,3 1969 1663
34 34 31,3 1969 2024 1663
34 34 31,3 353 27 1721
34 31,3 1969 1808
34 31,3 1969 1810
34 34 31,3 1969 2024 1810
34 31,3 1969 1877
34 34 31,3 1969 2024 1877
34 31,3 1969 1906
34 34 31,3 1969 2024 1906
34 31,3 1969 1913
34 34 31,3 1969 2024 1913
34 31,3 1969 1945
34 34 31,3 1969 1964 1945
34 34,3 1969 353
