relation_path,entity_path
37 37 17,1557 611 415 0
37 17,1159 1463 0
37 37 37 37 17,1166 499 1982 2032 415 0
37 20 35,1296 681 873 0
37 18,1978 416 0
37 37 37 17,476 1836 200 1463 0
34 34 34 27,1 1030 1886 17 964
22 34,92 1030 1
31 15 34 34,72 1985 856 260 1
34 34 31,1 789 1912 1723
34 34 34 34 34 34 34 34 34 34,907 1397 22 247 10 878 1759 789 1805 260 1
37 34,1741 247 1
22 34 34 34 34,970 687 623 1714 260 1
37 37 29 20 37 37 22 34,718 474 1236 1634 460 1250 626 247 1
18 34 34,1037 1929 1927 1
22 34 34 34,803 1030 12 1927 1
31 15 34 34 34,1056 1686 484 32 260 1
37 22 34 34 34 34 34 34 34,590 1513 364 260 1299 484 849 13 1927 1
37 37 22 34 34 34,18 1135 1951 484 2005 260 1
35 34 34 34 34,847 2008 1544 22 260 1
22 34 34 34 34 34 34 34,123 353 43 1331 2011 917 2018 1927 1
17 34 34 34 34,926 1838 878 1679 1927 1
22 34 34 34 34 34 34 34 34,806 1673 1123 1299 1179 1303 1919 1346 247 1
22 34 34,507 995 1927 1
37 37 22 34,476 1836 1982 484 1
37 37 37 22 34,566 525 61 428 247 1
37 37,455 1984 2
37 4,2 461 1154
35 23,2 1901 1413
35 34 31,2 1673 2010 1721
37 3,2 485 594
37 9,2 485 1199
37 31,2 461 1421
35 31,2 917 618
35 15 34 34 31,2 1901 257 1831 260 1249
37 22 28,2 1734 1148 1950
35 34 34 31,2 917 1927 49 576
37 37 17,2 200 1463 0
37 11 27,2 485 497 1506
35 15 34 34 34 31,2 1901 257 1792 1142 727 1906
35 15 28,2 1901 374 518
37 37 3,2 1734 200 539
37 31 13 15 28,2 1734 1358 1662 795 1801
37 33,2 200 147
35 34 34 34 34 34 31,2 917 1907 364 260 2005 32 1877
37 12,2 485 518
22 34 34 34 34 34,1575 257 1284 425 917 1949 3
34 34 34 34 34 34 34 34 34 34,26 353 1669 1331 19 1959 260 2011 2001 484 3
34 34 31,3 353 1722 576
34 34 34 34 31,3 1331 1971 247 7 1126
34 31,3 1969 1913
22 34 34 34,59 1030 43 1331 3
35 34 34,1588 1759 1830 3
25 22 34 34 34 34 34 34 34 34,545 132 257 789 2018 2022 1303 1046 1838 1830 3
22 34,347 484 3
37 37 35 15 34 34 34 34 34,455 1984 1261 60 484 2015 1927 762 977 3
34 16,3 484 1344
37 35 34,455 1984 484 3
34 34 34 31,3 484 1110 572 1876
22 34 34 34 34 34 34,1627 247 907 1886 740 1812 484 3
34 34,3 353 1408
30 22 34 34 34 34 34 34 34 34,208 1274 1030 260 1299 995 1673 1898 1886 1830 3
22 34 34,608 1030 1969 3
34 34 34 34 34 34 34 34 31,3 1927 43 1030 750 353 257 1235 1207 1560
34 34 34 34 34 34 34 34 34 31,3 977 1715 484 1996 247 1286 1937 260 1326 427
37 22 34 34,1296 227 425 977 3
37 37 37 37 22 34 34 34 34 34,476 1836 200 1463 517 1142 1927 1673 2005 260 4
34 34 34 34 34 34 34 34 34 34,2008 1802 883 484 1334 353 762 1927 1762 260 4
22 34,1694 484 4
34 34 31,4 1927 1683 1913
22 34 34 34,390 1030 2005 484 4
35 34 34 34,1343 247 2015 1927 4
22 34 34 34 34 34,225 425 687 1927 947 789 4
34 34 34 31,4 1927 924 13 1877
22 34 34 34 34 34 34 34 34,711 1030 2015 260 1291 1207 1907 935 484 4
22 34 34,267 995 789 4
11 15 34 34,285 1968 1838 1927 4
