node_id,direction,edges
0,in,36 34 34 34 36 70 70 36 70 34 34 34 34 34 34 34 70 34 36 
0,out,37 35 35 35 37 71 71 37 71 35 35 35 35 35 35 35 71 35 37 
1,in,63 69 68 69 68 47 57 63 69 68 63 44 63 69 63 69 68 63 63 63 63 63 63 63 63 63 63 63 63 69 68 63 
1,out,62 69 68 69 68 46 56 62 69 68 62 45 62 68 62 69 68 62 62 62 62 62 62 62 62 62 62 62 62 69 68 62 
2,in,7 75 75 75 7 25 7 7 73 71 7 1 71 75 7 71 74 
2,out,6 74 74 74 6 24 6 6 72 70 6 0 70 74 6 70 75 
3,in,63 63 47 69 68 63 69 68 69 68 69 68 63 69 68 63 63 69 68 55 63 63 63 63 63 69 68 63 63 63 69 68 63 69 68 69 68 
3,out,62 62 46 69 68 62 69 68 69 68 69 68 62 69 68 62 62 69 68 54 62 62 62 62 62 69 68 62 62 62 69 68 62 69 68 69 68 
4,in,63 63 63 68 47 63 69 68 63 63 69 68 63 69 68 63 69 63 63 55 63 63 63 63 63 63 63 63 69 68 63 
4,out,62 62 62 69 46 62 69 68 62 62 69 68 62 69 68 62 68 62 62 54 62 62 62 62 62 62 62 62 69 68 62 
5,in,63 63 68 47 69 68 63 69 68 63 31 63 69 68 63 68 63 63 69 68 55 63 63 57 63 63 63 63 63 63 
5,out,62 62 69 46 69 68 62 69 68 62 30 62 69 68 62 69 62 62 69 68 54 62 62 56 62 62 62 62 62 62 
6,in,63 63 69 68 63 69 68 47 57 69 68 69 68 69 68 63 63 68 63 69 68 63 63 63 63 63 63 69 63 63 63 63 63 63 69 68 63 69 68 68 69 68 
6,out,62 62 69 68 62 69 68 46 56 69 68 69 68 69 68 62 62 69 62 69 68 62 62 62 62 62 62 68 62 62 62 62 62 62 69 68 62 69 68 69 69 68 
7,in,69 68 63 69 68 47 57 69 68 63 63 69 68 63 63 63 63 63 63 69 63 63 63 63 63 63 63 63 63 63 69 68 63 68 
7,out,69 68 62 69 68 46 56 69 68 62 62 69 68 62 62 62 62 62 62 68 62 62 62 62 62 62 62 62 62 62 69 68 62 69 
8,in,7 7 19 67 15 25 7 7 7 74 7 3 45 7 7 7 7 37 39 33 7 
8,out,6 6 18 66 14 24 6 6 6 75 6 2 44 6 6 6 6 36 38 32 6 
9,in,7 7 15 45 7 7 7 7 45 7 7 7 7 25 15 19 7 
9,out,6 6 14 44 6 6 6 6 44 6 6 6 6 24 14 18 6 
10,in,69 68 63 63 63 69 68 69 68 47 69 68 69 68 63 69 68 63 31 68 69 68 63 69 68 63 63 63 55 69 68 69 63 57 63 63 63 63 63 63 69 63 69 68 
10,out,69 68 62 62 62 69 68 69 68 46 69 68 69 68 62 69 68 62 30 69 69 68 62 69 68 62 62 62 54 69 68 68 62 56 62 62 62 62 62 62 68 62 69 68 
11,in,63 63 47 69 68 63 68 63 69 69 68 63 69 68 63 63 63 63 69 68 63 63 63 63 63 63 69 68 63 
11,out,62 62 46 69 68 62 69 62 68 69 68 62 69 68 62 62 62 62 69 68 62 62 62 62 62 62 69 68 62 
12,in,63 69 63 47 69 57 69 68 63 69 68 63 63 55 63 69 68 63 63 63 63 69 63 69 68 
12,out,62 68 62 46 68 56 69 68 62 69 68 62 62 54 62 69 68 62 62 62 62 68 62 69 68 
13,in,69 63 63 63 69 68 57 68 69 68 69 68 47 69 68 69 68 69 68 69 68 63 69 68 69 68 69 68 69 68 68 69 68 69 68 68 69 63 69 68 63 69 68 69 68 69 68 63 63 63 63 69 68 69 68 69 68 63 68 63 69 68 69 68 63 63 68 63 69 68 69 68 69 68 69 68 
13,out,68 62 62 62 69 68 56 69 69 68 69 68 46 69 68 69 68 69 68 69 68 62 69 68 69 68 69 68 69 68 69 69 68 69 68 69 68 62 69 68 62 69 68 69 68 69 68 62 62 62 62 69 68 69 68 69 68 62 69 62 69 68 69 68 62 62 69 62 69 68 69 68 69 68 69 68 
14,in,7 75 45 25 25 7 7 1 7 74 7 59 7 7 23 7 74 71 
14,out,6 74 44 24 24 6 6 0 6 75 6 58 6 6 22 6 75 70 
15,in,7 45 25 7 7 73 63 45 45 7 63 9 7 71 7 
15,out,6 44 24 6 6 72 62 44 44 6 62 8 6 70 6 
16,in,63 63 63 69 68 47 69 68 63 69 68 63 69 68 55 63 69 68 63 63 63 63 69 68 63 69 63 63 63 63 63 63 63 69 68 63 
16,out,62 62 62 69 68 46 69 68 62 69 68 62 69 68 54 62 69 68 62 62 62 62 69 68 62 68 62 62 62 62 62 62 62 69 68 62 
17,in,69 68 69 68 69 68 63 63 69 47 63 69 68 57 69 68 55 63 69 68 63 63 63 69 68 63 63 63 63 63 69 63 63 69 68 63 63 69 63 69 68 69 68 
17,out,69 68 69 68 69 68 62 62 68 46 62 69 68 56 69 68 54 62 69 68 62 62 62 69 68 62 62 62 62 62 68 62 62 69 68 62 62 68 62 69 68 69 68 
18,in,67 67 73 7 25 7 7 45 75 7 63 63 7 7 7 1 7 
18,out,66 66 72 6 24 6 6 44 74 6 62 62 6 6 6 0 6 
19,in,69 68 69 68 63 63 63 63 57 68 69 68 47 57 69 68 63 69 68 63 69 68 63 69 68 63 63 63 69 68 63 63 63 63 63 63 63 69 68 63 63 68 69 68 63 69 68 
19,out,69 68 69 68 62 62 62 62 56 69 69 68 46 56 69 68 62 69 68 62 69 68 62 69 68 62 62 62 69 68 62 62 62 62 62 62 62 69 68 62 62 69 69 68 62 69 68 
20,in,63 63 63 69 68 47 57 69 68 63 69 68 57 63 63 69 68 55 63 69 68 63 69 68 69 68 63 63 63 69 68 63 63 63 63 63 68 63 69 68 63 69 68 69 
20,out,62 62 62 68 69 46 56 69 68 62 69 68 56 62 62 69 68 54 62 69 68 62 69 68 69 68 62 62 62 69 68 62 62 62 62 62 69 62 69 68 62 69 68 68 
21,in,7 7 67 25 19 7 7 7 3 45 7 7 7 7 39 7 
21,out,6 6 66 24 18 6 6 6 2 44 6 6 6 6 38 6 
22,in,68 69 68 63 69 68 63 63 63 57 69 68 69 68 69 69 68 69 63 69 68 63 63 69 68 69 68 69 68 69 68 63 69 68 63 69 69 68 69 68 69 63 69 68 63 63 63 63 69 68 63 63 63 63 69 68 69 68 63 63 69 63 69 68 69 68 63 69 68 69 69 68 
22,out,69 69 68 62 69 68 62 62 62 56 69 68 69 68 68 69 68 68 62 69 68 62 62 69 68 69 68 69 68 69 68 62 69 68 62 68 69 68 69 68 68 62 69 68 62 62 62 62 69 68 62 62 62 62 69 68 69 68 62 62 68 62 69 68 69 68 62 69 68 68 69 68 
23,in,7 7 13 25 25 7 19 7 45 7 7 23 7 45 61 60 67 37 7 25 
23,out,6 6 12 24 24 6 18 6 44 6 6 22 6 44 61 60 66 36 6 24 
24,in,6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 
24,out,7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 
25,in,7 67 5 25 9 73 7 7 25 63 63 63 63 45 63 63 63 7 7 63 
25,out,6 66 4 24 8 72 6 6 24 62 62 62 62 44 62 62 62 6 6 62 
26,in,69 68 63 63 69 68 47 69 68 69 68 69 68 63 69 68 31 63 69 68 55 63 69 68 69 68 63 69 68 63 69 68 69 68 63 57 63 69 68 63 63 63 63 63 63 63 63 69 68 63 69 68 
26,out,69 68 62 62 69 68 46 69 68 69 68 69 68 62 69 68 30 62 69 68 54 62 69 68 69 68 62 69 68 62 69 68 69 68 62 56 62 69 68 62 62 62 62 62 62 62 62 69 68 62 69 68 
27,in,63 63 69 68 69 68 68 47 69 68 69 68 63 69 57 63 69 68 69 63 69 68 69 68 69 68 63 63 63 69 68 68 63 69 68 63 63 63 63 69 68 63 68 63 63 69 68 69 69 69 68 69 68 
27,out,62 62 69 68 69 68 69 46 69 68 69 68 62 68 56 62 69 68 68 62 69 68 69 68 69 68 62 62 62 69 68 69 62 69 68 62 62 62 62 69 68 62 69 62 62 69 68 68 68 69 68 69 68 
28,in,7 75 45 25 75 7 75 7 7 7 75 7 7 75 75 
28,out,6 74 44 24 74 6 74 6 6 6 74 6 6 74 74 
29,in,15 7 43 7 43 43 45 19 7 7 7 15 7 7 
