Head,Tail,Relations
0,13647,120 125
0,0,126
0,12940,127
0,8652,129
0,4267,131
1,1,126
1,12940,127
1,2488,129
1,4372,131
2,10165,50
2,2,126
2,12940,127
3,10165,50
3,3,126
3,12940,127
3,4267,131
4,10390,22
4,9507,23
4,4,126
4,12940,127
4,2129,129
5,10165,50
5,13646,120
5,12940,127
5,2624,129
5,4267,131
6,10165,50
6,6,126
6,4267,131
7,10165,50
7,7,126
7,12940,127
8,10165,50
8,12940,127
9,10165,50
9,9,126
9,12940,127
10,10165,50
10,13770,120 125
10,12940,127
10,4370,131
11,10390,22
11,12947,120 125
11,11,126
11,12940,127
11,2151,129
11,4372,131
12,12956,125
12,12,126
12,12940,127
12,4372,131
13,1232,9
13,1270,9
13,1275,9
13,1387,9
13,4223,9
13,11176,9
13,4262,12 195
13,10165,50
13,5420,186
13,10390,188
13,1913,189 190
13,8312,190
13,10722,190
13,733,191
13,4396,191
13,5823,191
13,13720,191
14,14,126
14,4370,131
15,7748,19
15,5666,34
16,10165,50
16,405,115
16,3912,185
16,8663,186
16,10390,188
16,5460,190
16,464,191
16,923,191
16,1100,191
16,6121,191
16,10232,191
16,11852,191
16,13857,191
16,13252,192
16,7835,196
16,8985,223
17,10165,50
17,13616,125
17,17,126
17,12940,127
17,4547,131
18,13615,125
18,18,126
18,12940,127
18,4547,131
19,10165,50
19,13609,120 125
19,19,126
19,12940,127
20,10165,50
20,13607,125
20,20,126
20,12940,127
20,4547,131
21,9954,23
21,13606,120
21,21,126
21,12940,127
21,1167,129
21,4547,131
22,1232,9
22,4332,9
22,9536,9
22,10607,9
22,11946,9
22,645,10
22,905,10
22,2901,10
22,4178,10
22,8933,10 33
22,10565,11 68
22,9072,33
22,12665,33
22,5479,68
22,5480,68
22,6265,68
22,9465,68
22,10700,68
22,10839,68
22,12660,68
22,8663,186
22,12116,189
22,13910,190
22,733,191
22,4396,191
22,4441,191
22,8534,191
22,7835,196
23,10390,22
23,9949,23
23,10165,50
23,23,126
23,1043,129
23,4370,131
24,24,126
24,12940,127
25,7785,115
25,11834,115 116
25,7690,180
25,8878,188
25,9788,188
25,4403,191
25,11246,191
25,11852,191
26,10165,50
26,12940,127
26,4267,131
27,10165,50
27,12940,127
27,4267,131
28,5271,9
28,5368,9
28,10278,9
28,10835,9
28,10868,9
28,11337,9
28,11407,9
28,12479,9
28,750,10
28,1570,10
28,1582,10
28,1922,10
28,2248,10
28,4472,10
28,4640,10
28,4840,10
28,5571,10
28,6673,10
28,6826,10
28,7085,10
28,7245,10
28,7246,10
28,8355,10
28,3409,11
28,4952,11
28,5949,11 68
28,9139,11
28,12937,11
28,10532,39
28,10165,50
28,4353,67
28,3879,68
28,6811,68
28,11637,68
28,5420,186
28,10390,188
28,4206,189
28,923,191
28,1370,191
28,4396,191
28,6121,191
28,11246,191
28,1553,196
29,2218,154
29,4208,156
29,927,157 158
29,977,157 158
29,1010,157
29,1392,157
29,2923,157
29,2993,157
29,5182,157
29,5611,157 158
29,5910,157
29,6336,157
29,6470,157
29,7665,157
29,7869,157
29,8346,157
29,8496,157 158
29,9177,157
29,9493,157
29,9513,157 158
29,9881,157
29,12307,157 158
29,13329,157
29,13331,157
29,13333,157
29,13703,157
29,2472,158
29,2668,158
29,3363,158
29,3680,158
29,5043,158
29,6572,158
29,6921,158
29,7623,158
29,8036,158
29,9871,158
29,10945,158
29,11840,158
29,13335,158
30,1352,9
30,4228,9
30,4229,9
30,4236,9
30,10165,50
30,11572,147
30,5910,152
31,5269,9
31,2862,10
31,10165,50
31,8663,186
31,10390,188
31,4206,189 190
31,11545,190
31,733,191
31,4204,191
31,5823,191
31,10485,191
32,6529,19
32,10254,137
33,30,149
33,187,149
33,291,149
33,324,149
33,391,149
33,708,149
33,795,149
33,806,149
33,1414,149
33,2602,149
33,2707,149
33,2723,149
33,2724,149
33,2725,149
33,2808,149
33,2865,149
33,2869,149
33,2882,149
33,2896,149
33,2911,149
33,2920,149
33,3353,149
33,4079,149
33,4155,149
33,4416,149
33,4639,149
33,5157,149
33,5528,149
33,6583,149
33,7152,149
33,7224,149
33,8335,149
33,8478,149
33,8619,149
33,9314,149
33,9613,149
33,9745,149
33,11833,149
33,12175,149
33,12191,149
33,13036,149
33,13326,149
33,13410,149
33,1002,150
33,2243,150
33,5277,150
33,8912,150
33,9959,150
34,168,159
34,328,159
34,393,159
34,458,159
34,608,159
34,634,159
34,865,159
34,1200,159
34,1836,159
34,2218,159
34,2786,159
34,2808,159
34,2874,159
34,2889,159
34,3729,159
34,4056,159
34,4213,159
34,6039,159
34,6209,159
34,8893,159
34,9480,159
34,9690,159
34,11299,159
34,11610,159
34,11627,159
34,11818,159
34,13238,159
34,13971,159
34,7448,174
35,4353,37
35,9784,38
35,10390,38
35,6488,44
35,7655,44
35,10165,50
35,189,159
35,194,159
35,206,159
35,209,159
35,327,159
35,348,159
35,795,159
35,825,159
35,845,159
35,904,159
35,912,159
35,1054,159
35,1164,159
35,1746,159
35,1841,159
35,2091,159
35,2161,159
35,2242,159
35,2318,159
35,2542,159
35,2617,159
35,2685,159
35,2708,159
35,2709,159
35,2742,159
35,2757,159
35,2760,159
35,2765,159
35,2770,159
35,2774,159
35,2784,159
35,2802,159
35,2826,159
35,2845,159
35,2864,159
35,2889,159
35,2908,159
35,2909,159
35,2915,159
35,2932,159
35,2937,159
35,2951,159
35,3184,159
