Head,Tail,Relations
1,8335,295
1,8649,296
2,7917,296
3,7917,296
4,8633,296
5,8465,296
6,8658,296
7,74,113
9,1869,165
11,2519,90
13,8299,296
14,8337,295
14,8659,296
15,8713,296
16,7182,295
16,8713,296
17,896,295
17,8295,296
18,8632,296
18,6917,298
19,8284,296
20,4905,165
21,8656,296
21,8653,298
22,4945,90
23,896,295
23,8296,296
25,8284,296
25,5335,298
26,32,296
26,8281,298
28,32,296
29,1644,295
29,32,296
31,32,296
31,8281,298
34,1869,165
35,1286,165
36,4905,165
39,8297,296
40,8656,296
41,8646,296
47,4905,165
49,1286,165
50,4905,165
51,1869,165
52,8656,296
53,8298,296
54,1869,165
55,1869,165
56,8284,296
56,5335,298
57,9053,303
58,1801,152
60,3013,311
63,58,150
64,4320,90
66,1869,165
67,1869,165
68,69,234
68,7354,237
71,8297,296
78,4905,165
80,8322,303
85,1869,165
86,8465,296
87,8650,296
88,3241,86
88,1784,87
88,2106,116
88,6610,285
89,8252,303
90,4001,204
91,3829,16
91,4148,204
93,3569,35
93,4807,200
94,3569,35
95,4014,204
97,4905,165
99,4894,165
100,303,308
101,4894,165
102,8674,308
104,1869,165
105,1555,232
105,6953,236
106,1869,165
107,1561,303
108,2768,184
108,7184,185
110,4905,165
111,1869,165
112,7369,250
113,1286,165
114,1225,78
115,7209,219
117,2275,165
118,2458,35
119,1286,165
120,1286,165
121,5095,149
122,5102,239
123,1286,165
124,9039,300
124,8120,301
125,7209,90
126,3829,16
126,4057,204
126,1617,250
127,8324,239
128,8565,83
128,8762,94
128,4043,204
128,3542,323
129,3829,16
129,4107,204
130,7664,288
131,8197,140
131,4048,204
131,8176,274 611
132,3829,16
132,7815,17
133,6877,44
133,7046,45
133,7468,46
133,4610,47
133,7215,230
133,6935,231
133,3542,323
134,1286,165
135,1869,165
136,1286,165
137,3829,16
137,4148,204
139,3829,16
140,7109,104 582 597
140,6969,263
140,6021,264
140,3922,272
141,3829,16
141,4156,204
141,3311,235
141,6953,236
142,8186,140
142,8188,274
143,1869,165
144,1784,87
144,3015,116
148,4905,165
149,1869,165
150,1286,165
151,4905,165
152,1286,165
154,3105,250
157,6377,300
157,3473,301
158,8690,300
158,7581,301
159,8197,140 274
160,7139,300
160,4229,301
161,1869,165
163,1286,165
164,471,234
164,537,237
164,974,238
165,4193,204
165,353,213
165,3721,299
166,3044,303
168,7619,232
169,2018,300
169,4237,301
170,2275,165
171,604,79
172,2319,86
172,1784,87
172,2103,116
172,3502,269
173,1663,16
173,8179,140
174,4144,204
175,4905,165
176,5893,202
177,4622,236
178,8190,140 274
179,188,160
179,7299,303
180,4905,165
181,1662,16
182,7209,90
184,3662,29
184,3970,31
185,4894,165
187,4905,165
188,80,300
188,8323,301
189,4190,204
189,7369,250
189,2661,300
189,1393,301
190,1892,300
190,8244,301
191,6410,300 486
191,2278,301
193,8002,12
193,4811,81
194,4819,81
195,8762,94
195,5190,192
195,8113,199
195,4225,204
195,792,249
195,3542,323
195,3691,324
197,2522,83
197,4588,204
199,6854,74
199,1587,249
199,3542,323
200,3829,16
200,7815,17
200,4148,204
200,6953,236
201,1286,165
202,1286,165
203,1550,250
203,1837,300
203,5164,301
204,4905,165
205,1869,165
206,1067,97
206,5244,160
207,7369,77
207,232,79
207,4048,204
208,774,83
208,4172,192
208,5560,199
208,4146,204
208,1392,240
208,5102,241
208,3453,249
208,3542,323
209,720,83
209,8762,94
209,686,213
210,7066,300
210,3194,301
211,1286,165
212,1286,165
213,7440,90
214,7961,308
215,77,236
216,6201,12
217,2496,282
217,8181,283
218,6776,300
218,4232,301
219,7968,199
219,1360,213
219,5950,249
220,1286,165
221,1286,165
223,1869,165
224,1869,165
225,6405,90
226,8691,300
226,8322,301
229,130,289
229,260,290
230,8736,83
230,5932,204
230,3542,323
231,8763,94
231,5950,249
232,1020,81
233,7716,249
234,2998,83
235,5818,86
235,1784,87
235,140,116
236,4450,126
237,3829,16
237,7815,17
237,3318,300
237,1557,301
238,2301,240
238,1057,249
238,3542,323
239,632,83
239,3542,323
240,8146,307
241,2146,249
243,668,83
243,2480,206
243,3542,323
244,2604,199
244,4725,249
244,3542,323
245,4043,204
245,4173,213
245,2146,249
246,7092,213
246,3093,249
248,0,249
249,4154,204
250,339,73
250,2365,250
251,4225,204
251,2480,206
252,1869,165
253,4969,249
253,3542,323
254,4151,204
254,8146,307
255,7037,213
255,5950,249
256,4894,165
257,7440,90
258,941,311
259,1869,165
260,5102,239
260,130,289
261,1662,16
266,1286,165
267,4905,165
268,1286,165
270,2357,12 302
270,2678,300
270,3625,301
271,2357,12 302
271,2682,300
271,3625,301
272,7510,67
272,8483,145
273,8624,67
273,8483,145
274,1971,192
274,1138,199
274,4060,204
274,5996,249
274,3542,323
275,1869,165
276,4827,77
277,6446,213
277,2948,249
277,3542,323
278,1513,86
278,1784,87
278,630,116
278,8359,285 443
279,4905,165
280,4905,165
281,2046,86 443
281,1784,87
281,8116,269
282,2769,9
282,4002,204
282,8491,299
284,4106,204
285,1869,165
286,942,232
287,1286,165
288,888,193
289,7482,7
290,4165,204
290,2437,249
290,5094,283
291,3569,35
292,4035,204
293,4009,204
294,4905,165
295,4905,165
296,4894,165
297,5107,90
297,3542,323
298,4905,165
300,2893,292
301,4905,165
302,1869,165
304,4905,165
307,2190,245
307,3396,246
307,6196,247
308,5963,300
308,4259,301
309,1869,165
310,761,18
310,1777,72
312,5959,233
312,8818,234
313,1662,16
313,1709,136 137
313,1679,138
315,1869,165
317,8762,89
317,2519,90
317,103,233
317,48,234
318,2064,18
319,4156,204
319,8397,236
320,1662,16
320,382,17
320,2580,136 137
321,1374,300
321,4989,301
321,7480,302
322,1286,165
324,3650,29
324,4459,31
325,4905,165
326,7616,318
326,5939,319
327,4190,204
328,494,160 626
328,2278,303
329,2648,116
331,7440,90
332,7440,90
333,1571,249
334,5665,2
334,2704,3 4
334,2121,320
337,3557,35
338,4086,213
338,4888,249
339,4123,204
339,7369,250
340,138,83
340,7929,249
340,3542,323
341,8762,89
341,6405,90
342,4905,165
343,4905,165
344,4905,165
345,6125,303
346,4261,303
347,4905,165
348,1286,165
350,7440,90
351,1481,86
351,1784,87
354,1662,16
356,3998,29
356,3888,31
357,3644,29
357,4459,31
360,3664,29
360,3888,31
361,2421,83
361,4040,204
361,4198,299
363,8767,67
363,8483,145
364,7209,90
367,8236,104
367,6960,263 582 597
367,6114,264
367,7783,285 584
369,4424,12
369,1254,300
369,8246,301
370,3668,29
370,4459,31
372,3276,29
372,3970,31
373,1662,16
374,642,300
374,3044,301
374,5166,311 636
375,8621,300
375,8241,301
375,5166,302
377,4323,29
377,3888,31
378,1286,165
379,1286,165
380,1286,165
381,8762,89
381,5038,90
383,4905,165
384,2436,310
386,4665,312
386,6621,313
387,8260,303
388,1869,165
389,1869,165
390,1662,16
390,382,17
390,1697,136 137
393,8611,289
394,1747,29
394,3888,31
395,4905,165
396,1286,165
397,8846,166
398,4905,165
399,7961,308
401,9169,310
402,1747,29
402,3888,31
403,1662,16
404,4905,165
405,1747,29
405,4459,31
406,4623,83
408,1286,165
409,1286,165
410,1286,165
411,4905,165
412,913,157
413,8611,289
414,1057,249
415,1286,165
416,1869,165
417,3650,29
417,4821,31
418,4905,165
419,3646,29
419,4821,31
420,7321,44
420,7522,45
420,7468,46
420,7344,47
421,3797,117 412
421,1875,118
422,3507,86
422,6531,87
422,6314,284
422,6819,285
423,1869,165
424,3654,29
424,3880,31
426,1663,16
426,8189,140
426,2303,273
426,8197,274
427,4794,289
428,8214,194
429,6985,255
429,8235,257
429,630,258
429,7162,262
431,0,249
433,2590,86
433,6531,87
433,6493,284
433,1988,285
434,1286,165
435,1869,165
436,8848,300
436,6957,301
436,4831,302
437,7091,77
439,568,83
439,8491,299
440,3656,29
440,3987,31
441,1869,165
442,1869,165
443,1286,165
444,4905,165
445,4905,165
446,4259,303
447,6863,122
447,3170,125
447,1507,126
447,3303,132
448,1662,16
448,3077,136 137
448,2578,138
449,4258,303
450,4258,303
451,8016,125
451,1694,126
451,3303,132
452,5309,161
453,1869,165
454,1869,165
455,1286,165
456,1286,165
457,3662,29
457,3976,31
458,1663,16
458,2303,273
458,8192,274
459,1286,165
460,1869,165
461,928,234
462,8762,89
462,1747,90
463,1286,165
464,1286,165
465,1286,165
466,1777,72
467,1286,165
468,3998,29
468,4472,30
468,3970,31
470,1026,8
470,6256,9
470,229,83
472,1869,165
473,5939,90
475,5020,84
476,4905,165
477,1087,300
477,6481,301
479,661,8
479,227,9
479,8489,299
480,3998,29
480,3888,31
481,3276,29
481,3987,31
482,1869,165
483,1286,165
484,4905,165
485,4905,165
486,1869,165
487,1286,165
488,1286,165
489,4905,165
490,1286,165
491,4905,165
492,4020,204
493,8227,300 486
493,2280,301
493,7356,302
494,328,300 486
494,2278,301
495,1662,16
497,3276,29
497,3970,31
498,8197,140 274
498,8324,239
498,2304,273
503,3649,29
503,3970,31
505,1286,165
506,1286,165
507,8075,74
507,751,75
507,7455,250
508,1747,29
508,3880,31
509,9075,260
509,6878,261 412
509,6982,262
509,7076,267
510,1747,90
511,1839,300
511,4282,301
512,8234,250
512,3849,311
513,5939,198
514,6055,300
514,4282,301
515,1107,300
515,4276,301
515,8626,302
516,8192,140 274
516,2304,273
517,4123,204
517,7909,300
517,7853,301
518,3661,29
518,4459,31
519,519,147 473
520,2389,116
520,1569,269
521,8762,91
521,2450,92
521,1747,93
522,2359,73
522,2136,74
522,2360,75 400
523,5038,221
525,6381,300
525,4282,301
525,8626,302
526,2564,300
526,4276,301
527,7346,46
527,7217,47
527,7342,230
527,7141,231
528,8765,89
528,2903,90
529,3670,29
529,4459,31
530,1663,16
530,8175,140
531,673,161
532,1067,97
532,3802,160
533,4157,204
533,3613,310
541,3646,29
541,3987,31
544,8397,236
545,1747,29
545,4459,31
546,4000,204
547,3998,29
547,3888,31
548,2856,282
548,2541,283
550,2677,300
550,3620,301
554,539,235
554,6645,236
555,1062,81
555,1223,250
556,5243,204
560,2597,85
561,2384,273
561,8177,274
562,6571,249
562,6314,282
562,4416,283
563,6953,236
565,4121,204
565,2277,311 636
566,1800,24
566,1747,29
566,3888,31
567,5178,29
567,3987,31
576,1663,16
576,8200,140
576,2304,273
576,8175,274
577,5178,29
577,3987,31
579,5860,307
581,6493,282
581,4674,283
582,2437,249
582,5093,283
583,3648,29
583,4459,31
584,1663,16
