node_id,direction,edges
0,in,221 221 221 
0,out,513 513 513 
1,in,555 556 
1,out,263 264 
2,in,556 
2,out,264 
3,in,556 
3,out,264 
4,in,556 
4,out,264 
5,in,556 
5,out,264 
6,in,556 
6,out,264 
7,in,394 101 101 
7,out,102 393 393 
8,in,97 
8,out,389 
9,in,438 
9,out,146 
10,in,234 233 
10,out,526 525 
11,in,374 
11,out,82 
12,in,271 
12,out,563 
13,in,556 
13,out,264 
14,in,555 556 
14,out,263 264 
15,in,556 
15,out,264 
16,in,555 556 
16,out,263 264 
17,in,555 556 
17,out,263 264 
18,in,558 556 
18,out,266 264 
19,in,556 
19,out,264 
20,in,438 
20,out,146 
21,in,558 556 
21,out,266 264 
22,in,374 
22,out,82 
23,in,555 556 
23,out,263 264 
24,in,186 183 
24,out,478 475 
25,in,558 556 
25,out,266 264 
26,in,556 558 
26,out,264 266 
27,in,262 
27,out,554 
28,in,556 
28,out,264 
29,in,556 555 
29,out,264 263 
30,in,269 271 271 271 
30,out,561 563 563 563 
31,in,556 558 
31,out,264 266 
32,in,264 264 264 264 264 
32,out,556 556 556 556 556 
33,in,269 269 269 269 
33,out,561 561 561 561 
34,in,438 
34,out,146 
35,in,438 
35,out,146 
36,in,438 
36,out,146 
37,in,281 
37,out,573 
38,in,556 
38,out,264 
39,in,556 
39,out,264 
40,in,556 
40,out,264 
41,in,185 
41,out,477 
42,in,98 
42,out,390 
43,in,98 
43,out,390 
44,in,281 
44,out,573 
45,in,438 
45,out,146 
46,in,206 
46,out,498 
47,in,438 
47,out,146 
48,in,438 
48,out,146 
49,in,438 
49,out,146 
50,in,556 
50,out,264 
51,in,556 
51,out,264 
52,in,438 
52,out,146 
53,in,438 
53,out,146 
54,in,558 556 
54,out,266 264 
55,in,268 563 
55,out,560 271 
56,in,135 428 
56,out,427 136 
57,in,206 
57,out,498 
58,in,571 
58,out,279 
59,in,206 206 
59,out,498 498 
60,in,158 151 154 156 156 156 156 158 
60,out,450 443 446 448 448 448 448 450 
61,in,427 
61,out,135 
62,in,374 
62,out,82 
63,in,206 
63,out,498 
64,in,438 
64,out,146 
65,in,438 
65,out,146 
66,in,498 208 501 
66,out,206 500 209 
67,in,206 206 
67,out,498 498 
68,in,556 
68,out,264 
69,in,206 
69,out,498 
70,in,206 
70,out,498 
71,in,102 97 
71,out,394 389 
72,in,97 
72,out,389 
73,in,206 206 
73,out,498 498 
74,in,208 
74,out,500 
75,in,438 
75,out,146 
76,in,206 
76,out,498 
77,in,268 563 
77,out,560 271 
78,in,206 
78,out,498 
79,in,206 
79,out,498 
80,in,206 
80,out,498 
81,in,206 206 
81,out,498 498 
82,in,438 
82,out,146 
83,in,556 
83,out,264 
84,in,556 
84,out,264 
85,in,371 395 104 370 104 104 104 548 
85,out,79 103 396 78 396 396 396 256 
86,in,268 563 
86,out,560 271 
87,in,470 
87,out,178 
88,in,305 470 
88,out,13 178 
89,in,321 467 
89,out,29 175 
90,in,321 
90,out,29 
91,in,470 
91,out,178 
92,in,169 
92,out,461 
93,in,438 
93,out,146 
94,in,169 
94,out,461 
95,in,438 
95,out,146 
96,in,568 
96,out,276 
97,in,438 
97,out,146 
98,in,279 10 568 
98,out,571 302 276 
99,in,205 
99,out,497 
100,in,438 
100,out,146 
101,in,496 500 
101,out,204 208 
102,in,438 
102,out,146 
103,in,563 268 
103,out,271 560 
104,in,454 455 
104,out,162 163 
105,in,12 
105,out,304 
106,in,438 
106,out,146 
107,in,438 
107,out,146 
108,in,514 
108,out,222 
109,in,438 
109,out,146 
110,in,362 
110,out,70 
111,in,483 
111,out,191 
112,in,438 
112,out,146 
113,in,321 174 
113,out,29 466 
114,in,438 
114,out,146 
115,in,438 
115,out,146 
116,in,426 
116,out,134 
117,in,503 
117,out,211 
118,in,438 
118,out,146 
119,in,561 560 
119,out,269 268 
120,in,84 374 84 
120,out,376 82 376 
121,in,514 305 470 
121,out,222 13 178 
122,in,503 
122,out,211 
123,in,581 470 367 378 
123,out,289 178 75 86 
124,in,305 470 
124,out,13 178 
125,in,259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 259 550 259 259 259 259 259 259 259 259 259 259 259 259 259 259 
125,out,551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 551 258 551 551 551 551 551 551 551 551 551 551 551 551 551 551 
126,in,470 247 537 256 418 
126,out,178 539 548 245 126 
