alpha,beta,temp,total_cov,avg_recall_per_group
0.0,0.0,1.0,0.09315980037185635,0.12289750860822878
0.1,0.0,1.0,0.1724239162344652,0.21553742717816576
0.2,0.0,1.0,0.22096095508366767,0.2719538555721697
0.3,0.0,1.0,0.3051179176044623,0.3329108313011632
0.4,0.0,1.0,0.3211175261767296,0.3073329735668962
0.5,0.0,1.0,0.31123397592719443,0.2656202468176747
0.6,0.0,1.0,0.27160191799589,0.19860734287047163
0.7,0.0,1.0,0.17878461689010666,0.09177393196320267
0.8,0.0,1.0,0.10475584695175653,0.04600367984580319
0.9,0.0,1.0,0.05538702417066249,0.025467486236548275
1.0,0.0,1.0,0.030678148546824543,0.009096555233155442
0.0,0.1,1.0,0.17506605342988552,0.21994275379343714
0.1,0.1,1.0,0.2339759271944417,0.29316780704557305
0.2,0.1,1.0,0.3338389274880125,0.38299158491237584
0.3,0.1,1.0,0.36485957530091007,0.40341485707979713
0.4,0.1,1.0,0.38531167433212643,0.38969710223994153
0.5,0.1,1.0,0.3741070554848811,0.34609033289467345
0.6,0.1,1.0,0.341912124474019,0.28080852907592585
0.7,0.1,1.0,0.26773656913592325,0.18427096349476946
0.8,0.1,1.0,0.17203248850181035,0.08680417328709551
0.9,0.1,1.0,0.09149623250807319,0.04169806327276597
1.0,0.1,1.0,0.04775418338389275,0.023491117767681143
0.0,0.2,1.0,0.24782268323710735,0.3138542292789566
0.1,0.2,1.0,0.3340835698209218,0.39676517378127796
0.2,0.2,1.0,0.38413739113416184,0.4377947219927836
0.3,0.2,1.0,0.41187983168607495,0.4552977101639305
0.4,0.2,1.0,0.43057050592034446,0.4450713711497844
0.5,0.2,1.0,0.4319894314512183,0.42433428818027963
0.6,0.2,1.0,0.4100205499559644,0.3735056502968008
0.7,0.2,1.0,0.33956355807808986,0.26895727043285683
0.8,0.2,1.0,0.24968196496721792,0.16170486560229758
0.9,0.2,1.0,0.1583325178588903,0.07989653965946798
1.0,0.2,1.0,0.07197377434191213,0.03349646599899502
0.0,0.3,1.0,0.3428906938056561,0.4142931103423637
0.1,0.3,1.0,0.3938741559839515,0.45768805408301255
0.2,0.3,1.0,0.42729229865936,0.4858520539747591
0.3,0.3,1.0,0.45337117134748994,0.500127013555411
0.4,0.3,1.0,0.4706429200508856,0.4945210126854918
0.5,0.3,1.0,0.4755846951756532,0.4786849075399764
0.6,0.3,1.0,0.46222722379880615,0.4460921502391303
0.7,0.3,1.0,0.4164301790781877,0.375073667079283
0.8,0.3,1.0,0.31935610137978276,0.25042274701641254
0.9,0.3,1.0,0.2224288090811234,0.13856388237521125
1.0,0.3,1.0,0.12961150797534005,0.06608241886187748
0.0,0.4,1.0,0.39451022604951563,0.46033942943284806
0.1,0.4,1.0,0.42572658772874056,0.4894698225162679
0.2,0.4,1.0,0.4524904589490165,0.511759815392326
0.3,0.4,1.0,0.47323612877972404,0.5217463730653101
0.4,0.4,1.0,0.49192680301399355,0.522975118262895
0.5,0.4,1.0,0.49970642920050884,0.5147853716407653
0.6,0.4,1.0,0.49417751247675895,0.4926525279589676
0.7,0.4,1.0,0.4682943536549565,0.45023029729324215
0.8,0.4,1.0,0.3948527253155886,0.3584196999236348
0.9,0.4,1.0,0.2853508171053919,0.2214776348003076
1.0,0.4,1.0,0.18817888247382328,0.1176304720245305
0.0,0.5,1.0,0.4148155396809864,0.4816259512687867
0.1,0.5,1.0,0.43609942264409435,0.5023650280661535
0.2,0.5,1.0,0.4600254428026226,0.522470125756719
0.3,0.5,1.0,0.4792543301692925,0.5321680783964493
0.4,0.5,1.0,0.495205010274978,0.5361649184890863
0.5,0.5,1.0,0.504109991192876,0.5311043573346264
0.6,0.5,1.0,0.5,0.5151100648861919
0.7,0.5,1.0,0.4734318426460515,0.4749789397154894
0.8,0.5,1.0,0.4227419512672473,0.4119764404576851
0.9,0.5,1.0,0.33745963401506995,0.3065674972652545
1.0,0.5,1.0,0.2367648497896076,0.18697411985244664
0.0,0.6,1.0,0.41623446521186025,0.4852477555382276
0.1,0.6,1.0,0.4326255015167825,0.5007744388274756
0.2,0.6,1.0,0.4493101086211958,0.5151891825716797
0.3,0.6,1.0,0.462961150797534,0.5224401758314596
0.4,0.6,1.0,0.4703982777179763,0.5226413610283386
0.5,0.6,1.0,0.4688325667873569,0.5134173727340905
0.6,0.6,1.0,0.4556708092768373,0.49158360347961566
0.7,0.6,1.0,0.425922301595068,0.4527879113175132
0.8,0.6,1.0,0.38105489773950485,0.39476444965885776
0.9,0.6,1.0,0.31960074371269204,0.32096641072281334
1.0,0.6,1.0,0.24395733437714062,0.23111417605007667
0.0,0.7,1.0,0.38687738526274584,0.4548443135239092
0.1,0.7,1.0,0.39362951365104215,0.46127104626422544
0.2,0.7,1.0,0.3978373617770819,0.4627189913499911
0.3,0.7,1.0,0.39813093257657306,0.4599241240831126
0.4,0.7,1.0,0.39318915745180544,0.4517985914856283
0.5,0.7,1.0,0.38100596927292296,0.43478217985063916
0.6,0.7,1.0,0.36050494177512477,0.40840866533776204
0.7,0.7,1.0,0.3313435756923378,0.37280185229189733
0.8,0.7,1.0,0.2957236520207457,0.32915174539839054
0.9,0.7,1.0,0.2532537430276935,0.2753218989490108
1.0,0.7,1.0,0.20481456111165475,0.2195321758014505
0.0,0.8,1.0,0.2837851061747725,0.3381734606867312
0.1,0.8,1.0,0.28050689891378805,0.3332920498937182
0.2,0.8,1.0,0.27571190918876604,0.32615655834754526
0.3,0.8,1.0,0.26817692533516,0.3151733375576946
0.4,0.8,1.0,0.2572658772874058,0.30014613583674354
0.5,0.8,1.0,0.2451316175751052,0.28463665180055603
0.6,0.8,1.0,0.2302084352676387,0.26624639871417033
0.7,0.8,1.0,0.21181133183286036,0.24319372292668792
0.8,0.8,1.0,0.19140816126822585,0.2200186591254731
0.9,0.8,1.0,0.16640571484489677,0.19156844485573768
1.0,0.8,1.0,0.1415011253547314,0.1621867740744352
0.0,0.9,1.0,0.11845581759467658,0.14997493400808318
0.1,0.9,1.0,0.11410118406889128,0.1447109639558995
0.2,0.9,1.0,0.11038262060867013,0.14015519403180546
0.3,0.9,1.0,0.10593013014972111,0.13429119138143078
0.4,0.9,1.0,0.09937371562775223,0.12483690547226459
0.5,0.9,1.0,0.09394265583716606,0.11773691760800416
0.6,0.9,1.0,0.08753302671494276,0.10983710341905553
0.7,0.9,1.0,0.08156375379195616,0.10253102943710679
0.8,0.9,1.0,0.07549662393580585,0.09553642762666703
0.9,0.9,1.0,0.06835306781485469,0.08657884336521537
1.0,0.9,1.0,0.062090224092376946,0.07930097833412751
0.0,1.0,1.0,0.013602113709756336,0.019259312408483678
0.1,1.0,1.0,0.013602113709756336,0.019259312408483678
0.2,1.0,1.0,0.013602113709756336,0.019259312408483678
0.3,1.0,1.0,0.013602113709756336,0.019259312408483678
0.4,1.0,1.0,0.013602113709756336,0.019259312408483678
0.5,1.0,1.0,0.013602113709756336,0.019259312408483678
0.6,1.0,1.0,0.013602113709756336,0.019259312408483678
0.7,1.0,1.0,0.013602113709756336,0.019259312408483678
0.8,1.0,1.0,0.013602113709756336,0.019259312408483678
0.9,1.0,1.0,0.013602113709756336,0.019259312408483678
1.0,1.0,1.0,0.013602113709756336,0.019259312408483678
