alpha,beta,temp,total_cov,avg_recall_per_group
0.0,0.0,1.0,0.1309325765730502,0.1701308536684615
0.1,0.0,1.0,0.23881984538604561,0.2720932858253296
0.2,0.0,1.0,0.24679518543888834,0.2596962707510532
0.3,0.0,1.0,0.24038555631666503,0.22872567781691025
0.4,0.0,1.0,0.23358449946178686,0.1945238824663427
0.5,0.0,1.0,0.21905274488697524,0.15828637542070143
0.6,0.0,1.0,0.21014776396907722,0.13525916346443131
0.7,0.0,1.0,0.2056952735101282,0.11726958602079883
0.8,0.0,1.0,0.19590958019375673,0.09982635493508248
0.9,0.0,1.0,0.16699285644387904,0.07658280519600615
1.0,0.0,1.0,0.032782072609844407,0.009047932551015265
0.0,0.1,1.0,0.3461199726000587,0.40119991241475345
0.1,0.1,1.0,0.3857031020647813,0.43374410098035066
0.2,0.1,1.0,0.39299344358547805,0.42602567609281805
0.3,0.1,1.0,0.3814463254721597,0.3945918214957797
0.4,0.1,1.0,0.35057246305900774,0.3415145099376126
0.5,0.1,1.0,0.32043252764458363,0.2892039551324501
0.6,0.1,1.0,0.2977297191506018,0.24714907715188206
0.7,0.1,1.0,0.2755161953224386,0.20076583634654882
0.8,0.1,1.0,0.24850768176925336,0.15913911473709152
0.9,0.1,1.0,0.22697915647323613,0.1285188686593415
1.0,0.1,1.0,0.14619825814658968,0.07318145075609589
0.0,0.2,1.0,0.3995498581074469,0.4559357231440061
0.1,0.2,1.0,0.43370192778158334,0.48862127032814523
0.2,0.2,1.0,0.4464722575594481,0.488938021732119
0.3,0.2,1.0,0.4498972502201781,0.4746505914468169
0.4,0.2,1.0,0.4354633525785302,0.4489569873947096
0.5,0.2,1.0,0.4088462667579998,0.40391994264036424
0.6,0.2,1.0,0.37860847441041195,0.35443450226651235
0.7,0.2,1.0,0.34303747920540173,0.29869922242056063
0.8,0.2,1.0,0.313093257657305,0.2519197719452464
0.9,0.2,1.0,0.269889421665525,0.18872079111997012
1.0,0.2,1.0,0.1863196007437127,0.1084898691803458
0.0,0.3,1.0,0.4271455132596144,0.4889456651114841
0.1,0.3,1.0,0.45904687347098544,0.5144046409026667
0.2,0.3,1.0,0.47719933457285446,0.5244468153276163
