Entity Degree Quantile Bin,Avg. Coverage per Head (Green),Avg. Candidates per Head (Blue),Avg. Head Frequency (Orange)
Q1 (0-0),0.06,1,0.17
Q2 (1-2),0.17,3,0.51
Q3 (3-4),0.28,7,0.77
Q4 (5-5),0.36,11,0.88
Q5 (6-6),0.32,13,0.97
Q6 (7-8),0.34,19,1.05
Q7 (9-9),0.41,25,1.27
Q8 (10-11),0.42,32,1.38
Q9 (12-12),0.42,34,1.42
Q10 (13-13),0.43,38,1.55
Q11 (14-14),0.44,45,1.55
Q12 (15-16),0.49,49,1.60
Q13 (17-17),0.49,52,1.62
Q14 (18-18),0.47,57,1.54
Q15 (19-19),0.45,60,1.54
Q16 (20-21),0.51,65,1.76
Q17 (22-23),0.52,72,1.80
Q18 (24-25),0.50,74,2.02
Q19 (26-27),0.52,83,1.99
Q20 (28-30),0.53,95,2.23
Q21 (31-34),0.55,106,2.36
Q22 (35-40),0.60,131,2.72
Q23 (41-49),0.61,154,3.22
Q24 (50-67),0.61,215,4.39
Q25 (68-1325),0.62,533,9.26
