candidate_size,avg_group_count,total_cov,avg_cov_per_group,avg_group_density,pos_density
794200,318.9358851674641,0.0,0.0,0.0,0.0
593560,248.73684210526315,0.0,0.0,0.0,0.0
435765,248.73684210526315,0.0,0.0,0.0,0.0
313500,243.3846889952153,0.0,0.0,0.0,0.0
220495,193.6602870813397,0.0,0.0,0.0,0.0
150480,133.47177033492824,0.0,0.0,0.0,0.0
100320,89.87942583732057,0.0,0.0,0.0,0.0
63745,57.55885167464115,0.0,0.0,0.0,0.0
39710,36.13492822966507,0.0,0.0,0.0,0.0
22990,20.99138755980861,0.0,0.0,0.0,0.0
12540,11.54641148325359,0.0,0.0,0.0,0.0
6270,5.864114832535885,0.0,0.0,0.0,0.0
3135,2.96555023923445,0.0,0.0,0.0,0.0
1045,0.9894736842105263,0.0,0.0,0.0,0.0
1045000,553.8794258373206,0.0005470459518599562,0.0009569377990430622,1.3144749986855252e-06,9.569377990430622e-07
