candidate_size,avg_group_count,total_cov,avg_cov_per_group,avg_group_density,pos_density
1045000,555.6430622009569,0.0,0.0,0.0,0.0
794200,320.9952153110048,0.0,0.0,0.0,0.0
593560,247.60956937799043,0.0,0.0,0.0,0.0
435765,242.4019138755981,0.0,0.0,0.0,0.0
313500,220.26985645933016,0.0,0.0,0.0,0.0
220495,170.00478468899522,0.0,0.0,0.0,0.0
150480,123.56363636363636,0.0,0.0,0.0,0.0
100320,83.74258373205741,0.0,0.0,0.0,0.0
63745,52.888995215311006,0.0,0.0,0.0,0.0
39710,32.85071770334928,0.0,0.0,0.0,0.0
22990,19.74641148325359,0.0,0.0,0.0,0.0
12540,11.139712918660287,0.0,0.0,0.0,0.0
6270,5.721531100478469,0.0,0.0,0.0,0.0
3135,2.8803827751196174,0.0,0.0,0.0,0.0
1045,0.9808612440191388,0.0,0.0,0.0,0.0
