candidate_size,avg_group_count,total_cov,avg_cov_per_group,alpha,beta,temp,avg_group_density
814500,86.06666666666666,0.02563851648889324,0.004759196977927291,0.0,0.0,1.0,6.129942470238689e-06
814500,86.88029465930019,0.029748507681769253,0.00620045778382898,0.1,0.0,1.0,1.0114316866052665e-05
814500,86.82615101289134,0.033809570408063414,0.007709392663471259,0.2,0.0,1.0,1.5652589493956858e-05
814500,87.07182320441989,0.08273803698992073,0.03202887362145292,0.3,0.0,1.0,0.003104086700098865
814500,86.3257213014119,0.12599080144828262,0.07619444600193616,0.4,0.0,1.0,0.0022816229057558432
814500,84.48446899938612,0.13567863783149037,0.11736145036329199,0.5,0.0,1.0,0.0025444310385243233
814500,82.99803560466543,0.1309325765730502,0.11531724124725966,0.6,0.0,1.0,0.0027114501680611867
814500,81.62013505217925,0.12711615617966532,0.11211443525439842,0.7,0.0,1.0,0.0028254344527678314
814500,80.38809085328423,0.11644975046482044,0.10261156822851114,0.8,0.0,1.0,0.0029241409699242975
814500,79.6012277470841,0.11194833153928956,0.09960184144346207,0.9,0.0,1.0,0.0031375543812638845
814500,78.94708410067526,0.10627262941579411,0.09399756440272095,1.0,0.0,1.0,0.003378117609882069
814500,86.45144260282382,0.027889225951658676,0.005573394375918427,0.0,0.1,1.0,8.398811114549673e-06
814500,86.6877839165132,0.03160778941187983,0.006921730536842607,0.1,0.1,1.0,1.5830484983564548e-05
814500,86.58723143032535,0.035228495938937274,0.008476126661707804,0.2,0.1,1.0,2.384748921410617e-05
814500,86.83879680785758,0.0904687347098542,0.036403985654531554,0.3,0.1,1.0,0.002467106766197942
814500,86.07133210558625,0.13841863196007437,0.09151537065879409,0.4,0.1,1.0,0.0024431638018628213
814500,84.36108041743401,0.13885898815931108,0.12096704059871648,0.5,0.1,1.0,0.002649142191949807
814500,82.9292817679558,0.1335747137684705,0.11830183594456155,0.6,0.1,1.0,0.0027937979660040213
814500,81.53443830570902,0.1296604364419219,0.11469372725357992,0.7,0.1,1.0,0.002949321068177987
814500,80.25070595457336,0.12148938252275174,0.10736022111712719,0.8,0.1,1.0,0.003115986315563197
814500,79.50092081031308,0.114541540268128,0.1016484688492055,0.9,0.1,1.0,0.003250667161562187
814500,79.06065070595457,0.11204618847245328,0.10026818655732099,1.0,0.1,1.0,0.003473074313908666
814500,86.05917740945365,0.029748507681769253,0.0063618678235381155,0.0,0.2,1.0,1.196885401564226e-05
814500,86.41362799263352,0.03356492807515413,0.007924868377267849,0.1,0.2,1.0,1.8400050064938194e-05
814500,86.41669736034378,0.036353850670319994,0.008951452852090829,0.2,0.2,1.0,2.089932494542804e-05
814500,86.73910374462861,0.09658479303258635,0.04062068165442435,0.3,0.2,1.0,0.002040945639227338
814500,85.86077348066298,0.14282219395244153,0.09843033596683082,0.4,0.2,1.0,0.002608454238604372
814500,84.31724984653161,0.13846756042665623,0.12085970574000039,0.5,0.2,1.0,0.0026592322950729375
814500,82.86752608962554,0.1335747137684705,0.11844390382143605,0.6,0.2,1.0,0.002790881799226427
814500,81.53492940454267,0.13005186417457676,0.11525337529941582,0.7,0.2,1.0,0.0029565534240884477
814500,80.26052793124616,0.12237009492122516,0.10838709513663473,0.8,0.2,1.0,0.0031245237259202143
814500,79.49858809085329,0.11429689793521872,0.10130396886382154,0.9,0.2,1.0,0.003227565949270122
814500,79.06838551258441,0.11194833153928956,0.10002263714050086,1.0,0.2,1.0,0.003446885296306389
814500,85.3134438305709,0.03180350327820726,0.006875568123657895,0.0,0.3,1.0,1.5559568977217664e-05
814500,86.10448127685697,0.03469028280653684,0.008392474917051682,0.1,0.3,1.0,2.0329437771799288e-05
814500,86.17863720073665,0.03684313533613857,0.009298615940635096,0.2,0.3,1.0,4.379910924194233e-05
814500,86.56746470227134,0.10084156962520795,0.0441798417334631,0.3,0.3,1.0,0.0017391592931553614
814500,85.65107427869859,0.14517076034837068,0.1047855962929082,0.4,0.3,1.0,0.002639697977379596
814500,84.23044812768569,0.13744006262843722,0.11992340242800648,0.5,0.3,1.0,0.002648611742805047
814500,82.84162062615101,0.1336725707016342,0.11852259124818977,0.6,0.3,1.0,0.0027669478971547707
814500,81.5170042971148,0.13005186417457676,0.1152863543931684,0.7,0.3,1.0,0.002962087250343472
814500,80.25426642111725,0.12266366572071631,0.10913748246160769,0.8,0.3,1.0,0.0031324168158853045
814500,79.51724984653161,0.11498189646736472,0.10172788264869297,0.9,0.3,1.0,0.003232897112854081
814500,79.06875383670963,0.1108719052744887,0.09885773901427676,1.0,0.3,1.0,0.0034168781346782186
814500,84.86310620012277,0.033809570408063414,0.007274582189966643,0.0,0.4,1.0,2.0124681888544394e-05
814500,85.70460405156538,0.035228495938937274,0.008555794765108959,0.1,0.4,1.0,2.2678050780643944e-05
814500,85.92780847145488,0.051815246110186904,0.01576717631488511,0.2,0.4,1.0,0.0013211717821968033
814500,86.39680785758134,0.10514727468441139,0.04857920805264765,0.3,0.4,1.0,0.0016132161227147889
814500,85.47501534683855,0.14340933555142382,0.10888103331116548,0.4,0.4,1.0,0.0027175036502743127
814500,84.10620012277471,0.1355318524317448,0.11808066430534202,0.5,0.4,1.0,0.0026093517571988884
814500,82.80650705954574,0.13235150210392407,0.11698610031943366,0.6,0.4,1.0,0.0027143747025009405
814500,81.56169429097606,0.12951365104217633,0.11499193426449411,0.7,0.4,1.0,0.0029230185599501066
814500,80.26482504604051,0.12266366572071631,0.10914771368730854,0.8,0.4,1.0,0.0031124924306904288
814500,79.47955801104972,0.11669439279772972,0.10371031192393991,0.9,0.4,1.0,0.0032940684202825313
814500,79.01240024554941,0.11101869067423427,0.09847421421086246,1.0,0.4,1.0,0.003415643834178629
814500,84.42799263351749,0.03322242880908113,0.007393993891509474,0.0,0.5,1.0,2.230674903720504e-05
814500,85.15199508901166,0.034152069674136414,0.008088721769499397,0.1,0.5,1.0,2.4031409252514623e-05
814500,85.69490484960099,0.06712985615030825,0.023894687097802278,0.2,0.5,1.0,0.0014988512416173568
814500,86.21252302025783,0.10177121049026323,0.049477920544481746,0.3,0.5,1.0,0.0014310187186566416
814500,85.22946593001842,0.13372149916821607,0.10468853692059772,0.4,0.5,1.0,0.002517115734654643
814500,84.05696746470227,0.13210685977101477,0.11439273706308697,0.5,0.5,1.0,0.0025321005573961898
814500,82.71184775936158,0.13005186417457676,0.1141310967185737,0.6,0.5,1.0,0.002667524577446048
814500,81.55457335788827,0.12775222624522947,0.11290734195890734,0.7,0.5,1.0,0.002871006688484469
814500,80.37163904235727,0.12261473725413445,0.10887453996109613,0.8,0.5,1.0,0.0030679196642115734
814500,79.48618784530387,0.11654760739798414,0.10328761614212811,0.9,0.5,1.0,0.0032839266102520815
814500,79.01313689379988,0.11126333300714356,0.09848489141306821,1.0,0.5,1.0,0.0034152846473447934
814500,84.08385512584408,0.02779136901849496,0.005977333945230712,0.0,0.6,1.0,2.241667176493226e-05
814500,84.76967464702271,0.02837851061747725,0.006925361074273729,0.1,0.6,1.0,5.27087951411564e-05
814500,85.58195211786372,0.057393091300518645,0.021514402038131722,0.2,0.6,1.0,0.0008479674777368636
814500,85.79791282995703,0.08445053332028574,0.04233740475567033,0.3,0.6,1.0,0.0010810804410789322
814500,84.93738489871086,0.11145904687347098,0.08570649303453762,0.4,0.6,1.0,0.002032336002035078
814500,83.9109883364027,0.12237009492122516,0.1042260471970893,0.5,0.6,1.0,0.0023560677104135473
814500,82.77777777777777,0.12295723652020746,0.10664553337665676,0.6,0.6,1.0,0.0025215708110383557
814500,81.64002455494168,0.12119581172326059,0.10604258983632832,0.7,0.6,1.0,0.00271155130015946
814500,80.58931860036833,0.117966532928858,0.10342694819674562,0.8,0.6,1.0,0.0029061722115067534
814500,79.69122160834868,0.11307368627067228,0.09972534695370791,0.9,0.6,1.0,0.0031004534923998097
814500,79.15445058317987,0.10852333887855954,0.09578588521498282,1.0,0.6,1.0,0.0033588202111414847
814500,84.22160834868018,0.013014972110774048,0.002859172952939942,0.0,0.7,1.0,1.804730530651622e-05
814500,84.64935543278085,0.012085331245718759,0.003172578295585129,0.1,0.7,1.0,3.525814839094379e-05
814500,84.89306322897482,0.01228104511204619,0.004654255046493736,0.2,0.7,1.0,0.00010403127674086035
814500,84.86408839779006,0.05039632057931304,0.026281216523720934,0.3,0.7,1.0,0.0007082022654901003
814500,84.29785144260282,0.06336236422350523,0.036323678097666796,0.4,0.7,1.0,0.0009083774294954346
814500,83.50018416206261,0.08038947059399158,0.055817545188218964,0.5,0.7,1.0,0.0013661418653347355
814500,82.54340085942296,0.09281730110578335,0.07218020333121622,0.6,0.7,1.0,0.0019603344352171906
814500,81.6402701043585,0.09634015069967707,0.07838354606310408,0.7,0.7,1.0,0.0022640071581592315
814500,80.88201350521793,0.09731872003131421,0.08056582528037408,0.8,0.7,1.0,0.0025131849729612766
814500,80.2633517495396,0.09609550836676778,0.07944807937441455,0.9,0.7,1.0,0.0027072821233284096
814500,79.5804788213628,0.09443194050298463,0.07835412081268435,1.0,0.7,1.0,0.002937642253958534
814500,84.595211786372,0.0007339269987278598,0.0005441190031905724,0.0,0.8,1.0,3.476589284789626e-06
814500,84.39987722529159,0.0007828554653097172,0.0005748126802930893,0.1,0.8,1.0,3.5197192260524026e-06
814500,84.1037446286065,0.0008807123984734318,0.0006402748083703186,0.2,0.8,1.0,7.3380499334400485e-06
